Nazwa,ECTS,Tryb,Kryteria
Kurs na Równość - przeciwdziałanie dyskryminacji na UW - szkoły doktorskie,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
"Mobbing w miejscu pracy – zapobieganie, rozpoznawanie i reagowanie",2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu. 
Każdy moduł kursu kończy test, który sprawdza wiedzę osób uczestniczących. Ocena końcowa jest wynikiem średniej otrzymanej z każdego testu kończącego moduł jak i testu końcowego."
Przeciwdziałanie molestowaniu seksualnemu na uczelni,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Varsavianistyka,2.0,w sali i w terenie,Przygotowanie opracowań wycieczek (1-3) po Warszawie na zadaną listę tematów (wybór z 5).
Energia dla Polski,3.0,w sali,"Warunkiem zaliczenia zajęć jest frekwencja, aktywny udział w zajęciach oraz przygotowanie eseju. 
Dopuszczalna liczba nieobecności: 2
Ostateczna ocena z zajęć zależy od:
1)	oceny eseju tj. zgodności jego treści  z założeniami oraz poziomu jego zawartości merytorycznej,
2)	oceny aktywności na zajęciach."
Onboarding at UW,2.0,zdalnie,"1.	Доступ до курсу дійсний протягом 30 днів. Курс можна пройти за одну сесію або впродовж кількох.
2.	Для того, щоб завершити курс, вам потрібно скласти тест і набрати щонайменше 60% балів.
3.	Ви можете проходити тест стільки разів, скільки потрібно для досягнення необхідного результату.
4.	Після завершення курсу вам потрібно буде заповнити оцінювальну анкету.
5.	Особи, які пройшли курс та оцінювання, отримують Сертифікат.
6.	Керівні принципи оцінювання:
100%-92% - 5 (Дуже добре)
91,99%-84% - 4.5 (більш ніж добре)
83,99%-76% - 4 (добре)
75,99-68% - 3.5 (більш ніж достатньо)
67,99%-60% - 3 (достатньо)
59,99-0% - 2 (недостатньо)"
Приборкати важкі емоції. Зустріч із тривогою,2.0,zdalnie,"Після закінчення курсу його учасник:
●	Володіє базовими знаннями про тривожні розлади: види тривожних розладів, механізми їх формування та характерні симптоми.
●	Ознайомлений зі способами подолання ситуацій тривожної кризи, розпізнає фактори ризику і шляхи їх подолання.
●	Має базові навички розпізнавання симптомів тривоги
●	Здатний розпізнавати фактори ризику тривожних розладів
●	 Уміє впроваджувати відповідні методи для підтримки емоційної рівноваги в життя"
Oswoić trudne emocje. Spotkania z lękiem.,2.0,zdalnie,"- W każdym module wskazane jest wypełnienie krótkiego zadania domowego.
- Na koniec kursu należy wypełnić test zaliczeniowy (na ocenę)
- Warunkiem zaliczenia testu jest uzyskanie co najmniej 60% możliwych do zdobycia punktów"
Chór Wydziału Matematyki,6.0,w sali i w tereniezdalnie,"Umiejętność wykonania wybranych utworów – oceniana na podstawie pracy na próbach, przesłanych nagrań i/lub indywidualnych przesłuchań
Obecność na obowiązkowych zajęciach z emisji głosu, próbach i koncertach, realizowanie wskazanych zadań na platformach do kształcenia słuchu muzycznego, 
Zaangażowanie podczas zdalnych spotkań, prób i koncertów
Pisemne prace semestralne. 
Łącznie do zdobycia jest 50 pkt, ocenę 3 uzyskują studenci, którzy zdobędą co najmniej 30pkt."
